Qty,Value,Package,Designators,Notes
1,10uF,C_AXIAL-0.2,"C0",""
2,33nF,C_AXIAL-0.2,"C1, C2",""
2,68nF,C_AXIAL-0.2,"C3, C4",""
8,100nF,C_AXIAL-0.2,"C5, C6, C7, C8, C9, C10, C11, C12",""
8,NE5532,DIP-8,"U1A, U1B, U2A, U2B, U3A, U3B, U4A, U4B","4 x dual op-amp packages (U1-U4); each drawn as two sections"
1,PWR,HDR-1X3,"J1",""
4,20k,POT-ALPHA-16MM,"VR1A, VR1B, VR2A, VR2B","2 x dual-gang 20k linear pots (VR1, VR2); wired as rheostats"
5,10k,R_AXIAL-0.4,"R1, R10, R11, R23, R24","R10/R11/R23/R24 are the TP1/TP2 null network - optional"
10,5.6k,R_AXIAL-0.4,"R2, R4, R5, R6, R12, R14, R15, R16, R20, R21",""
2,12k,R_AXIAL-0.4,"R3, R13","Sets filter Q; 11k2 = exact Q 0.5, 5k04 = Butterworth"
2,4.7k,R_AXIAL-0.4,"R7, R8",""
3,100R,R_AXIAL-0.4,"R9, R19, R22","Output series build-out resistors"
2,13k,R_AXIAL-0.4,"R17, R18",""
