Comment,Designator,Footprint,LCSC Part #,JLC Library
100nF,"C5,C6,C7,C8,C9,C10",0805,C49678,basic
47k,"R1",0805,C17713,extended
10k,"R10,R11,R23,R24,R31,R32,R33",0805,C17414,basic
5.6k,"R2,R4,R5,R6,R12,R14,R15,R16,R20,R21",0805,C4382,basic
11k,"R3,R13",0805,C17429,extended
13k,"R17,R18",0805,C2933304,extended
100R,"R9,R19,R22,R25,R26,R27",0805,C17408,basic
100k,"R28,R29,R30",0805,C17407,extended
1M,"R34,R35,R36,R40",0805,C17514,extended
2.2k,"R37,R38,R39",0805,C17520,extended
4.7k,"R7,R8",0805,C17673,basic
33nF,"C1,C2,C3A,C3B,C4A,C4B",1210,C569866,extended
10uF,"C0,C11,C12,C13,C14,C15,C16",CASE-D5xL5.4,C2858858,extended
1N4148W,"D1,D2,D3,D4",SOD-123,C22374707,extended
MC33079,"U1,U2,U3",SOIC-14,C9376,extended
MMBFJ112,"Q1,Q2,Q3",SOT-23,C258195,extended
