Designator,Mid X,Mid Y,Layer,Rotation
C0,7.6200mm,60.4520mm,top,0
C1,22.3520mm,39.1160mm,top,0
C2,31.4960mm,39.1160mm,top,0
C3A,36.0680mm,20.8280mm,top,0
C3B,40.6400mm,20.8280mm,top,0
C4A,45.2120mm,20.8280mm,top,0
C4B,40.6400mm,25.4000mm,top,0
C5,26.9240mm,39.1160mm,top,0
C6,17.7800mm,43.6880mm,top,0
C7,26.9240mm,61.9760mm,top,0
C8,17.7800mm,48.2600mm,top,0
R1,17.7800mm,57.4040mm,top,0
R10,40.6400mm,43.6880mm,top,0
R11,40.6400mm,48.2600mm,top,0
R12,26.9240mm,20.8280mm,top,0
R13,17.7800mm,20.8280mm,top,0
R14,22.3520mm,20.8280mm,top,0
R15,36.0680mm,39.1160mm,top,0
R16,40.6400mm,39.1160mm,top,0
R17,54.3560mm,20.8280mm,top,0
R18,49.7840mm,20.8280mm,top,0
R19,49.7840mm,48.2600mm,top,0
R2,17.7800mm,52.8320mm,top,0
R20,40.6400mm,29.9720mm,top,0
R21,40.6400mm,34.5440mm,top,0
R22,45.2120mm,61.9760mm,top,0
R23,49.7840mm,39.1160mm,top,0
R24,45.2120mm,25.4000mm,top,0
R3,22.3520mm,43.6880mm,top,0
R4,26.9240mm,43.6880mm,top,0
R5,31.4960mm,43.6880mm,top,0
R6,36.0680mm,43.6880mm,top,0
R7,17.7800mm,34.5440mm,top,0
R8,31.4960mm,20.8280mm,top,0
R9,31.4960mm,61.9760mm,top,0
U1,27.9400mm,51.5620mm,top,0
U2,27.9400mm,29.2100mm,top,0
